run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,length
19,30,3,0.000393144909163,na,na,0,0.0568071881485,del,1,neu,329302.434694,,5000,True,indel_discrete_2class_equal_t,29,1bp
19,30,3,0.000388218006561,na,na,-1329.00569874,1.73095557248e-06,del,2,sel,329302.434694,,5000,True,indel_discrete_2class_equal_t,29,1bp
19,30,3,0.000275287192041,na,na,0,0.0176879437923,ins,1,neu,329302.434694,,5000,True,indel_discrete_2class_equal_t,29,1bp
19,30,3,0.000272689113863,na,na,-2060.07404076,1.05838166752e-05,ins,2,sel,329302.434694,,5000,True,indel_discrete_2class_equal_t,29,1bp
19,30,3,4.92690260162e-06,na,na,-0.58786507001,1.41710282488e-05,del,1,sel,329302.434694,,5000,True,indel_discrete_2class_equal_t,29,1bp
19,30,3,2.59807817748e-06,na,na,0.30760905553,0.00572060710237,ins,1,sel,329302.434694,,5000,True,indel_discrete_2class_equal_t,29,1bp
4,11,3,0.000368067290003,na,na,0,0.0255893892846,del,1,neu,237874.512172,,5000,True,indel_discrete_2class_equal_t,29,4bp
4,11,3,0.000357449057157,na,na,-874.795121904,2.34690092187e-06,del,1,sel,237874.512172,,5000,True,indel_discrete_2class_equal_t,29,4bp
4,11,3,0.000188176402435,na,na,0,0.00853295643433,ins,1,neu,237874.512172,,5000,True,indel_discrete_2class_equal_t,29,4bp
4,11,3,0.000184039196851,na,na,-2295.15350264,8.10368954399e-06,ins,1,sel,237874.512172,,5000,True,indel_discrete_2class_equal_t,29,4bp
4,11,3,1.06182328457e-05,na,na,-2.71893767988,3.29233317209e-08,del,2,sel,237874.512172,,5000,True,indel_discrete_2class_equal_t,29,4bp
4,11,3,4.13720558396e-06,na,na,-1.85983022539,1.85704126973e-05,ins,2,sel,237874.512172,,5000,True,indel_discrete_2class_equal_t,29,4bp
19,13,3,0.000165812670481,na,na,0,0.04489428837,del,1,neu,128948.131665,,5000,True,indel_discrete_2class_equal_t,29,2bp
19,13,3,0.0001609453485,na,na,-892.815233298,1.48436510596e-07,del,2,sel,128948.131665,,5000,True,indel_discrete_2class_equal_t,29,2bp
19,13,3,0.000136151592459,na,na,0,0.01494784188,ins,1,neu,128948.131665,,5000,True,indel_discrete_2class_equal_t,29,2bp
19,13,3,0.000133057771012,na,na,-2116.12768598,0.00196448097227,ins,1,sel,128948.131665,,5000,True,indel_discrete_2class_equal_t,29,2bp
19,13,3,4.86732198041e-06,na,na,0.31660588413,3.84534521356e-06,del,1,sel,128948.131665,,5000,True,indel_discrete_2class_equal_t,29,2bp
19,13,3,3.09382144782e-06,na,na,2.59933002262,0.0615612993509,ins,2,sel,128948.131665,,5000,True,indel_discrete_2class_equal_t,29,2bp
1,37,3,0.000144526172541,na,na,0,0.0238406005967,del,1,neu,76512.4815871,,5000,True,indel_discrete_2class_equal_t,29,6bp
1,37,3,0.000123296554843,na,na,-259.414649921,0.0282514351721,del,1,sel,76512.4815871,,5000,True,indel_discrete_2class_equal_t,29,6bp
1,37,3,6.23074577873e-05,na,na,0,0.0104523388512,ins,1,neu,76512.4815871,,5000,True,indel_discrete_2class_equal_t,29,6bp
1,37,3,5.81947123198e-05,na,na,-609.087437399,3.45707291227e-06,ins,1,sel,76512.4815871,,5000,True,indel_discrete_2class_equal_t,29,6bp
1,37,3,2.12296176987e-05,na,na,-0.898593464935,0.0200755916505,del,2,sel,76512.4815871,,5000,True,indel_discrete_2class_equal_t,29,6bp
1,37,3,4.11274546747e-06,na,na,18.7489488734,0.0297724574983,ins,2,sel,76512.4815871,,5000,True,indel_discrete_2class_equal_t,29,6bp
20,17,3,0.000105268905908,na,na,0,0.0360046579678,del,1,neu,71075.6591358,,5000,True,indel_discrete_2class_equal_t,29,3bp
20,17,3,9.24596946235e-05,na,na,-309.62976083,7.16339671261e-07,del,1,sel,71075.6591358,,5000,True,indel_discrete_2class_equal_t,29,3bp
20,17,3,7.66800203892e-05,na,na,0,5.4562493046e-06,ins,1,neu,71075.6591358,,5000,True,indel_discrete_2class_equal_t,29,3bp
20,17,3,7.05764656494e-05,na,na,-49989.9898705,0.000484182948344,ins,1,sel,71075.6591358,,5000,True,indel_discrete_2class_equal_t,29,3bp
20,17,3,1.2809211284e-05,na,na,-2.52328645655,0.0410806372972,del,2,sel,71075.6591358,,5000,True,indel_discrete_2class_equal_t,29,3bp
20,17,3,6.10355473979e-06,na,na,1.45913660249,0.0304169999128,ins,2,sel,71075.6591358,,5000,True,indel_discrete_2class_equal_t,29,3bp
