run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,length,AIC,delta_AIC
18,14,3,0.000128603093661,na,na,0,0,ins,1,neu,128283.964637,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,23,2bp,-256521.929273,-1316.33405664
18,14,3,0.000128603093661,na,na,-94.3900633749,0.145304384936,ins,1,sel,128283.964637,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,23,2bp,-256521.929273,-1316.33405664
20,17,3,0.000105268905908,na,na,0,0.0360046579678,del,1,neu,71075.6591358,,5000,True,indel_discrete_2class_equal_t,29,3bp,-142093.318272,0.0
20,17,3,9.24596946235e-05,na,na,-309.62976083,7.16339671261e-07,del,1,sel,71075.6591358,,5000,True,indel_discrete_2class_equal_t,29,3bp,-142093.318272,0.0
20,17,3,7.66800203892e-05,na,na,0,5.4562493046e-06,ins,1,neu,71075.6591358,,5000,True,indel_discrete_2class_equal_t,29,3bp,-142093.318272,0.0
20,17,3,7.05764656494e-05,na,na,-49989.9898705,0.000484182948344,ins,1,sel,71075.6591358,,5000,True,indel_discrete_2class_equal_t,29,3bp,-142093.318272,0.0
20,17,3,1.2809211284e-05,na,na,-2.52328645655,0.0410806372972,del,2,sel,71075.6591358,,5000,True,indel_discrete_2class_equal_t,29,3bp,-142093.318272,0.0
20,17,3,6.10355473979e-06,na,na,1.45913660249,0.0304169999128,ins,2,sel,71075.6591358,,5000,True,indel_discrete_2class_equal_t,29,3bp,-142093.318272,0.0
21,82,3,0.000105908610669,na,na,0,0.0418371660458,del,1,neu,71077.6617467,sel_ins_e_2,5000,True,indel_discrete_3class_equal_t,35,3bp,-142085.323493,-7.99477830919
21,82,3,9.16055111274e-05,na,na,-375.052992609,2.25425608066e-05,del,1,sel,71077.6617467,sel_ins_e_2,5000,True,indel_discrete_3class_equal_t,35,3bp,-142085.323493,-7.99477830919
21,82,3,7.74633075771e-05,na,na,0,0.0105431721753,ins,1,neu,71077.6617467,sel_ins_e_2,5000,True,indel_discrete_3class_equal_t,35,3bp,-142085.323493,-7.99477830919
21,82,3,7.03248512613e-05,na,na,-49873.7039659,0.499999999993,ins,2,sel,71077.6617467,sel_ins_e_2,5000,True,indel_discrete_3class_equal_t,35,3bp,-142085.323493,-7.99477830919
21,82,3,1.32700225783e-05,na,na,-3.89109353611,0.0172170312965,del,3,sel,71077.6617467,sel_ins_e_2,5000,True,indel_discrete_3class_equal_t,35,3bp,-142085.323493,-7.99477830919
21,82,3,4.02305033217e-06,na,na,-4.27094105318,0.000293289138432,ins,1,sel,71077.6617467,sel_ins_e_2,5000,True,indel_discrete_3class_equal_t,35,3bp,-142085.323493,-7.99477830919
21,82,3,3.11540598365e-06,na,na,615.806714995,0.0488294357471,ins,3,sel,71077.6617467,sel_ins_e_2,5000,True,indel_discrete_3class_equal_t,35,3bp,-142085.323493,-7.99477830919
21,82,3,1.03307696366e-06,na,na,22.8373867768,0.173247847047,del,2,sel,71077.6617467,sel_ins_e_2,5000,True,indel_discrete_3class_equal_t,35,3bp,-142085.323493,-7.99477830919
24,14,3,9.71186156112e-05,na,na,0,0.0358804623177,del,1,neu,70663.5322254,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,23,3bp,-141281.064451,-812.253820923
24,14,3,9.71186156112e-05,na,na,-25.1701005627,0.0932607829857,del,1,sel,70663.5322254,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,23,3bp,-141281.064451,-812.253820923
24,14,3,7.1108966797e-05,na,na,0,0,ins,1,neu,70663.5322254,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,23,3bp,-141281.064451,-812.253820923
24,14,3,7.1108966797e-05,na,na,-37.0994124058,0.0660385497442,ins,1,sel,70663.5322254,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,23,3bp,-141281.064451,-812.253820923
4,11,3,0.000368067290003,na,na,0,0.0255893892846,del,1,neu,237874.512172,,5000,True,indel_discrete_2class_equal_t,29,4bp,-475691.024344,0.0
4,11,3,0.000357449057157,na,na,-874.795121904,2.34690092187e-06,del,1,sel,237874.512172,,5000,True,indel_discrete_2class_equal_t,29,4bp,-475691.024344,0.0
