run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,AIC,delta_AIC
96,1,3,0.011338572298,na,na,-24877.4289526,6.50834941496e-13,ins,1,sel,1029194.51512,,5000,True,indel_discrete_3class,37,-2058315.03025,-11.9264964999
96,1,3,2.50811618292e-09,na,na,-49535.726414,0.106429821838,del,1,sel,1029194.51512,,5000,True,indel_discrete_3class,37,-2058315.03025,-11.9264964999
96,1,3,2.83441184873e-10,na,na,-5480.04559788,0.0365521882738,ins,2,sel,1029194.51512,,5000,True,indel_discrete_3class,37,-2058315.03025,-11.9264964999
96,1,3,0.00532602876622,na,na,-3228.31458454,4.45865566689e-15,del,2,sel,1029194.51512,,5000,True,indel_discrete_3class,37,-2058315.03025,-11.9264964999
96,1,3,1.8183583554e-05,na,na,2.01816162232,0.0289720360214,ins,3,sel,1029194.51512,,5000,True,indel_discrete_3class,37,-2058315.03025,-11.9264964999
96,1,3,5.37937812342e-05,na,na,-1.75228346013,0.0187835858145,del,3,sel,1029194.51512,,5000,True,indel_discrete_3class,37,-2058315.03025,-11.9264964999
20,1,3,0.000727864584461,na,na,0,0,ins,1,neu,1028948.85009,neu_ins_e_1,5000,True,indel_continuous_1class_equal_t,25,-2057847.70018,-479.2565592
20,1,3,0.00115653026933,na,na,0,0.0354780524873,del,1,neu,1028948.85009,neu_ins_e_1,5000,True,indel_continuous_1class_equal_t,25,-2057847.70018,-479.2565592
20,1,3,0.000727864584461,2596.74339241,0.713823973791,na,0.0330096622748,ins,1,sel,1028948.85009,neu_ins_e_1,5000,True,indel_continuous_1class_equal_t,25,-2057847.70018,-479.2565592
20,1,3,0.00115653026933,2417.1493976,0.626114375264,na,0.0379335916117,del,1,sel,1028948.85009,neu_ins_e_1,5000,True,indel_continuous_1class_equal_t,25,-2057847.70018,-479.2565592
7,1,3,0.000734892049002,na,na,0,0,ins,1,neu,1029190.23465,neu_ins_e_1,4975,True,indel_continuous_1class,27,-2058326.46931,-0.487435159972
7,1,3,0.00116667639033,na,na,0,0.0353991227428,del,1,neu,1029190.23465,neu_ins_e_1,4975,True,indel_continuous_1class,27,-2058326.46931,-0.487435159972
7,1,3,2.96104349973e-05,1122.00503018,0.0464484997078,na,0.0150310744453,ins,1,sel,1029190.23465,neu_ins_e_1,4975,True,indel_continuous_1class,27,-2058326.46931,-0.487435159972
7,1,3,0.000263746711634,1046.75652863,0.372603896849,na,0.0145462066995,del,1,sel,1029190.23465,neu_ins_e_1,4975,True,indel_continuous_1class,27,-2058326.46931,-0.487435159972
